TYPE_NAME=QR_ReportKeyword;KEYS=Report,Keyword
Report;Keyword
"name=""Стандартная форма""";old_internprintform
"name=""Стандартная форма""";old_missionprintform
"name=""Отчет по результатам поиска""";extsearch
"name=""Отчет по результатам поиска""";rkk-search-result
"name=""Отчет по результатам поиска""";resolution-search-result
"name=""Отчет по результатам поиска""";report-search-result
"name=""Отчет по результатам поиска""";mainDoc-search-result
"name=""Отчет по результатам поиска""";input-rkk-search-result
"name=""Отчет по результатам поиска""";advinput-search-result
"name=""Отчет по результатам поиска""";rkkContracts-search-results-SQLED
"name=""Отчет по результатам поиска""";addAgr-search-result
"name=""Отчет по результатам поиска""";docToContract-search-result
"name=""Отчет по результатам поиска""";finance-search-result
"name=""Отчет по результатам поиска""";mainDoc-contracts-search-result
"name=""Отчет по результатам поиска""";meeting-search-result
"name=""Отчет по результатам поиска""";decisionProject-search-result
"name=""Отчет по результатам поиска""";decision-search-result
"name=""Отчет по результатам поиска""";extract-search-result
"name=""Отчет по результатам поиска""";point-search-result
"name=""Отчет по результатам поиска(Excel)""";extsearch
"name=""Отчет по результатам поиска(Excel)""";rkk-search-result
"name=""Отчет по результатам поиска(Excel)""";resolution-search-result
"name=""Отчет по результатам поиска(Excel)""";report-search-result
"name=""Отчет по результатам поиска(Excel)""";mainDoc-search-result
"name=""Отчет по результатам поиска(Excel)""";input-rkk-search-result
"name=""Отчет по результатам поиска(Excel)""";advinput-search-result
"name=""Отчет по результатам поиска(Excel)""";rkkContracts-search-results-SQLED
"name=""Отчет по результатам поиска(Excel)""";addAgr-search-result
"name=""Отчет по результатам поиска(Excel)""";docToContract-search-result
"name=""Отчет по результатам поиска(Excel)""";finance-search-result
"name=""Отчет по результатам поиска(Excel)""";mainDoc-contracts-search-result
"name=""Отчет по результатам поиска(Excel)""";meeting-search-result
"name=""Отчет по результатам поиска(Excel)""";decisionProject-search-result
"name=""Отчет по результатам поиска(Excel)""";decision-search-result
"name=""Отчет по результатам поиска(Excel)""";extract-search-result
"name=""Отчет по результатам поиска(Excel)""";point-search-result
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печать по бланку' AND rt.name = 'print-res-on-blank';resprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печать по бланку' AND rt.name = 'print-res-on-blank';resprojectprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Входящего документа' AND rt.name = 'inputPrintForm';inputprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='Печатная форма' AND rt.name = 'internPrintForm';old_internprintform
SELECT r.id FROM QR_Report r JOIN report_template rt on rt.id = r.template WHERE r.name='РКК Договора' AND rt.name = 'contracts-printform';dogprintform
